Device ID,datapoints,,,log10 Mean,,,Std.Dev. of mean (fold)
,EBFP2,EYFP,mKate,EBFP2,EYFP,mKate,EBFP2,EYFP,mKate
Dox 0.1,33075,70670,77737,4.335276e+00,5.355465e+00,5.569924e+00,1,1,1,
Dox 0.2,27872,58837,63951,4.335021e+00,5.358931e+00,5.566944e+00,1,1,1,
Dox 0.5,25914,55599,60922,4.333063e+00,5.366590e+00,5.582226e+00,1,1,1,
Dox 1.0,22910,48524,53250,4.332287e+00,5.358738e+00,5.576263e+00,1,1,1,
Dox 2.0,25811,55446,61036,4.332337e+00,5.353530e+00,5.584376e+00,1,1,1,
Dox 5.0,31607,66754,74120,4.336693e+00,5.350235e+00,5.583052e+00,1,1,1,
Dox 10.0,29736,62855,68929,4.338966e+00,5.366074e+00,5.589591e+00,1,1,1,
Dox 20.0,32379,65114,71686,4.374862e+00,5.368291e+00,5.603532e+00,1,1,1,
Dox 50.0,29765,50703,56007,4.539209e+00,5.339930e+00,5.613947e+00,1,1,1,
Dox 100.0,34172,53442,59582,4.655256e+00,5.334106e+00,5.634833e+00,1,1,1,
Dox 200.0,40620,56278,62793,4.804645e+00,5.288926e+00,5.619204e+00,1,1,1,
Dox 500.0,52731,62673,72379,5.008529e+00,5.214020e+00,5.707245e+00,1,1,1,
Dox 1000.0,59271,62165,73849,5.165414e+00,5.161143e+00,5.780747e+00,1,1,1,
Dox 2000.0,66423,65109,78580,5.252997e+00,5.124630e+00,5.821261e+00,1,1,1,
